#metadata_Size       1       3         5       7        9      1e    3e     5e    7e      9e
1                14.50   12.15     11.95   11.95    11.90   0.50  0.50   0.45   0.40   0.40  
2                14.50   12.25     12.25   12.20    11.90   0.50  0.50   0.45   0.40   0.40
4                14.60   12.25     12.15   12.15    11.85   0.45  0.40   0.40   0.40   0.35
8                14.70   12.30     12.25   12.20    12.15   0.40  0.40   0.35   0.30   0.30   
10               15.00   12.35     12.35   12.25    12.20   0.35  0.35   0.30   0.25   0.20  
12               15.10   12.70     12.60   12.50    12.45   0.25  0.25   0.20   0.15   0.10 
15               15.10   12.80     12.50   12.45    12.05   0.20  0.20   0.15   0.15   0.10
