#Block_Size       1     3      5      7      9      1e     3e     5e     7e     9e
1             3.96   3.23   3.00   2.93   2.10   0.36   0.36   0.34   0.33   0.33
2             3.60   3.50   3.42   3.28   2.56   0.35   0.34   0.34   0.33   0.33
4             3.85   3.71   3.68   3.56   2.92   0.33   0.32   0.32   0.31   0.31
8             4.18   4.09   4.06   4.33   3.38   0.31   0.31   0.28   0.49   0.26
16            5.24   4.71   4.13   4.08   4.17   0.27   0.27   0.26   0.23   0.22
32            6.29   5.72   5.33   4.92   5.07   0.23   0.23   0.17   0.16   0.36
64            7.25   6.70   7.15   7.10   6.06   0.20   0.20   0.39   0.42   0.12
80            7.58   7.50   6.88   6.49   6.33   0.17   0.17   0.16   0.15   0.14
