#metadata_Size       1       3         5       7        9      1e    3e     5e    7e      9e
1                16.75   23.15     23.10   23.10    23.15   0.20  0.20   0.20   0.20   0.20  
2                16.85   23.70     23.10   23.20    23.35   0.25  0.25   0.20   0.15   0.10
4                17.15   23.35     23.55   24.10    24.15   0.35  0.35   0.30   0.25   0.20
8                17.35   25.55     25.80   26.10    26.30   0.40  0.40   0.35   0.30   0.30  
10               17.60   25.75     25.60   25.90    27.00   0.45  0.40   0.40   0.40   0.35  
12               17.90   25.30     25.85   26.15    26.25   0.50  0.50   0.45   0.40   0.40
15               17.95   26.95     26.20   27.50    27.90   0.50  0.50   0.45   0.40   0.40
