306.695	10	13.2	315.496	9.5	14.5	657.156	5.5	26781.6	625.174	4.9	156.9								
311.798	10	13.5	320.432	10.2	18.4	666.031	5.7	25894.9	635.449	5	319								
316.913	10	12.6	325.668	9.8	15	675.046	5.7	25110.6	646.884	4.5	310.2								
322.024	10	14.3	331.271	9.1	16.4	683.916	5.8	23250.8	656.673	5.2	362.8								
327.143	10	14.5	336.055	10.6	15.5	692.78	5.7	21438.5	666.372	5.2	333.3								
332.256	10	15.3	341.445	9.5	13.4	701.75	5.7	19558.3	676.224	5.2	311.5								
337.358	10	13.7	346.64	9.8	15.3	710.608	5.8	18239.5	685.34	5.6	154.1								
342.463	10	14.4	352.092	9.4	16.7	719.519	5.7	17948.1	698.262	4	138.8								
347.633	9.9	12.9	357.104	10	15.4	728.399	5.8	17315.5	709.035	4.7	162.1								
352.71	9.9	16.1	362.402	9.5	15.6	737.242	5.8	15357.5	719.765	4.8	219.6								
357.813	10	14	367.603	9.7	15.2	746.131	5.7	14720.1	731.615	4.3	266								
362.963	9.9	12.9	373.582	8.6	15.3	755.094	5.7	14232.8	744.493	3.9	324.7								
368.033	10	12.5	378.779	9.7	13.9	763.997	5.7	13532.5	754.048	5.3	410.9								
373.143	10	15.1	383.555	10.6	13.7	772.845	5.8	11619.3	764.852	4.7	216.2								
378.249	10	13.5	388.877	9.5	15.2	781.823	5.7	9983.2	774.9	5	152.7								
383.362	10	14.2	394.232	9.6	15.7	790.535	5.9	8330.6	786.419	4.4	169.2								
388.496	9.9	12.6	399.284	10.1	16.8	799.366	5.8	6371.7	796.796	4.9	161.4								
393.583	10	13.3	404.366	10	15.6	808.217	5.8	4841.5	807.33	4.8	287.4								
398.712	9.9	13.3	409.47	10.1	13.5	816.409	6.2	3208.7	816.912	5.3	274.8								
403.809	10	13.2	414.481	10	15.6	825.298	5.7	500	827.443	4.8	305.6								
408.941	9.9	12.3	419.688	9.8	14.2	836.891	4.4	152.5	836.319	5.7	307.4								
414.039	10	13.9	424.988	9.7	16.5	850.298	3.8	220.3	844.95	5.9	555								
419.154	10	14.4	430.209	9.8	13.8	862.142	4.3	452.1	854.974	5.1	183.9								
424.273	10	15.8	435.276	10.1	15	873.322	4.5	320	863.833	5.8	165.7								
429.393	9.9	14.8	440.605	9.6	16.9	882.29	5.7	860.6	873.813	5.1	152.8								
434.532	9.9	13.1	445.647	10.2	14.2	891.327	5.6	941.9	887.401	3.7	162.7								
439.604	10	14.8	450.827	9.7	13.6	900.885	5.3	429.5	898.196	4.7	215.9								
444.734	10	14.7	456.067	9.6	13.9	910.892	5.1	611.1	909.461	4.6	264.8								
449.857	9.9	12.7	461.2	10.2	14.3	920.46	5.3	335.3	919.997	4.8	344.1								
454.95	10	13.6	466.888	9	15.5	931.733	4.7	313.4	929.65	5.3	294.2								
460.076	9.9	15.1	471.952	10	15.5	942.671	4.6	214	939.835	5	208.7								
465.196	10	14.6	477.241	9.7	13.2	953.854	4.5	185	950.078	4.9	166.1								
470.293	10	14.7	482.246	10.2	15.9	964.977	4.5	194.2	960.118	5	158								
