#Block_Size       1       3      5       7      9       1e     3e     5e     7e     9e
1           11.56   10.75   10.32   10.0   9.81   0.51   0.21   0.28   0.25   0.35
2           11.23   10.6   10.71   10.31   10.92   0.49   0.78   0.38   0.45   0.35
4           11.43   11.24   11.24   10.5   10.16   0.35   0.33   0.63   0.41   0.41
8           12.21   11.7   11.58   11.58   10.99   0.71   0.41   0.36   0.62   0.32
16           12.84   13.67   12.47   12.27   12.6   0.33   0.62   0.31   0.25   0.25
32           13.91   12.83   12.13   12.22   11.96   0.25   0.24   0.19   0.54   0.14
64           15.7   15.59   14.6   14.35   14.52   0.18   0.18   0.16   0.44   0.14
80           16.67   17.54   15.52   14.84   15.19   0.12   0.67   0.11   0.09   0.56

