#Block_Size       1       3      5       7      9       1e     3e     5e     7e     9e
1           7.84   6.99   6.71   6.5   6.38   0.29   0.12   0.16   0.14   0.2
2           7.3   7.75   6.96   6.7   7.1   0.27   0.44   0.21   0.25   0.2
4           7.43   7.31   7.7   6.83   6.6   0.2   0.18   0.35   0.23   0.23
8           8.46   7.6   7.53   8.01   7.14   0.4   0.23   0.2   0.35   0.18
16           8.35   8.89   8.11   7.98   8.41   0.18   0.35   0.17   0.14   0.14
32           9.04   8.34   7.88   8.09   7.77   0.14   0.13   0.11   0.3   0.08
64           10.21   10.13   9.7   9.98   9.44   0.1   0.1   0.09   0.25   0.08
80           10.84   10.41   10.09   9.65   9.87   0.07   0.07   0.06   0.05   0.31
