#Wa     N       K      Ne    Ke
#0.4   5.030   5.030  0.44  0.43
0.5    5.030   5.030  0.44  0.43
0.6    11.12   9.090  1.50  1.22
0.7    22.05   14.38  4.38  2.88
0.8    12.43   6.220  1.96  0.98
0.9    20.25   6.750  2.73  0.91
1.0    26.40   6.480  1.92  0.59
